date,open,high,low,close,volume,average,barCount
2023-03-17 08:30:00-05:00,4109.0,4539.25,4103.0,4539.25,-1.0,-1.0,-1
2023-03-17 09:00:00-05:00,4114.75,4118.75,4073.75,4082.0,-1.0,-1.0,-1
2023-03-17 10:00:00-05:00,4082.0,4086.0,4063.75,4070.0,-1.0,-1.0,-1
2023-03-17 11:00:00-05:00,4070.0,4093.75,4069.75,4081.75,-1.0,-1.0,-1
2023-03-17 12:00:00-05:00,4081.75,4091.75,4079.5,4085.75,-1.0,-1.0,-1
2023-03-17 13:00:00-05:00,4085.75,4089.75,4063.5,4072.0,-1.0,-1.0,-1
2023-03-17 14:00:00-05:00,4072.0,4083.5,4069.5,4075.5,-1.0,-1.0,-1
2023-03-17 15:00:00-05:00,4075.5,4083.5,4075.25,4077.5,-1.0,-1.0,-1
2023-03-20 08:30:00-05:00,4077.25,4089.5,4071.25,4087.0,-1.0,-1.0,-1
2023-03-20 09:00:00-05:00,4087.0,4099.75,4081.0,4099.75,-1.0,-1.0,-1
2023-03-20 10:00:00-05:00,4099.75,4110.5,4096.25,4096.5,-1.0,-1.0,-1
2023-03-20 11:00:00-05:00,4096.5,4101.75,4079.5,4101.75,-1.0,-1.0,-1
2023-03-20 12:00:00-05:00,4101.75,4105.75,4101.5,4101.75,-1.0,-1.0,-1
2023-03-20 13:00:00-05:00,4101.75,4102.0,4093.5,4098.0,-1.0,-1.0,-1
2023-03-20 14:00:00-05:00,4098.0,4110.25,4095.75,4110.25,-1.0,-1.0,-1
2023-03-20 15:00:00-05:00,4108.0,4108.0,4107.75,4108.0,-1.0,-1.0,-1
2023-03-21 08:30:00-05:00,4142.25,4150.25,4142.0,4150.25,-1.0,-1.0,-1
2023-03-21 09:00:00-05:00,4150.25,4154.75,4130.25,4134.5,-1.0,-1.0,-1
2023-03-21 10:00:00-05:00,4134.5,4142.5,4130.25,4134.5,-1.0,-1.0,-1
2023-03-21 11:00:00-05:00,4134.5,4134.5,4134.25,4134.5,-1.0,-1.0,-1
2023-03-21 12:00:00-05:00,4136.25,4144.25,4136.0,4136.25,-1.0,-1.0,-1
2023-03-21 13:00:00-05:00,4136.25,4148.25,4136.0,4148.25,-1.0,-1.0,-1
2023-03-21 14:00:00-05:00,4148.25,4164.25,4148.0,4160.25,-1.0,-1.0,-1
2023-03-21 15:00:00-05:00,4160.25,4164.25,4160.0,4164.25,-1.0,-1.0,-1
2023-03-22 08:30:00-05:00,4165.75,4165.75,4157.75,4161.75,-1.0,-1.0,-1
2023-03-22 09:00:00-05:00,4161.75,4173.75,4161.75,4169.75,-1.0,-1.0,-1
2023-03-22 10:00:00-05:00,4169.75,4169.75,4161.75,4165.75,-1.0,-1.0,-1
2023-03-22 11:00:00-05:00,4165.75,4165.75,4153.75,4153.75,-1.0,-1.0,-1
2023-03-22 12:00:00-05:00,4153.75,4569.75,4149.75,4569.75,-1.0,-1.0,-1
2023-03-22 13:00:00-05:00,4578.0,4578.0,4153.5,4166.25,-1.0,-1.0,-1
2023-03-22 14:00:00-05:00,4166.25,4174.5,4098.25,4098.25,-1.0,-1.0,-1
2023-03-22 15:00:00-05:00,4098.25,4106.25,4098.25,4102.25,-1.0,-1.0,-1
2023-03-23 08:30:00-05:00,4126.0,4134.0,4119.25,4133.75,-1.0,-1.0,-1
2023-03-23 09:00:00-05:00,4133.75,4159.75,4133.5,4159.75,-1.0,-1.0,-1
2023-03-23 10:00:00-05:00,4159.75,4168.0,4155.75,4160.0,-1.0,-1.0,-1
2023-03-23 11:00:00-05:00,4160.0,4160.0,4143.0,4144.5,-1.0,-1.0,-1
2023-03-23 12:00:00-05:00,4144.5,4147.25,4125.75,4125.75,-1.0,-1.0,-1
2023-03-23 13:00:00-05:00,4125.75,4127.75,4081.25,4097.5,-1.0,-1.0,-1
2023-03-23 14:00:00-05:00,4097.5,4121.5,4075.25,4099.0,-1.0,-1.0,-1
2023-03-23 15:00:00-05:00,4099.0,4114.5,4099.0,4110.5,-1.0,-1.0,-1
2023-03-24 08:30:00-05:00,4078.5,4514.75,4054.25,4074.75,-1.0,-1.0,-1
2023-03-24 09:00:00-05:00,4074.75,4086.0,4061.75,4073.5,-1.0,-1.0,-1
2023-03-24 10:00:00-05:00,4073.5,4091.25,4059.25,4087.25,-1.0,-1.0,-1
2023-03-24 11:00:00-05:00,4087.25,4097.25,4079.0,4093.0,-1.0,-1.0,-1
2023-03-24 12:00:00-05:00,4093.0,4102.5,4086.75,4093.5,-1.0,-1.0,-1
2023-03-24 13:00:00-05:00,4093.5,4110.25,4093.25,4106.25,-1.0,-1.0,-1
2023-03-24 14:00:00-05:00,4106.25,4114.25,4102.0,4114.25,-1.0,-1.0,-1
2023-03-24 15:00:00-05:00,4114.25,4548.75,4114.0,4548.75,-1.0,-1.0,-1
2023-03-27 08:30:00-05:00,4145.0,4150.25,4138.25,4142.25,-1.0,-1.0,-1
2023-03-27 09:00:00-05:00,4142.25,4142.25,4126.25,4128.0,-1.0,-1.0,-1
2023-03-27 10:00:00-05:00,4128.0,4128.5,4120.5,4120.5,-1.0,-1.0,-1
2023-03-27 11:00:00-05:00,4120.5,4128.5,4120.5,4124.5,-1.0,-1.0,-1
2023-03-27 12:00:00-05:00,4124.5,4549.75,4124.5,4549.75,-1.0,-1.0,-1
2023-03-27 13:00:00-05:00,4550.5,4550.5,4126.0,4142.0,-1.0,-1.0,-1
2023-03-27 14:00:00-05:00,4142.0,4142.0,4122.0,4126.0,-1.0,-1.0,-1
2023-03-27 15:00:00-05:00,4126.0,4552.5,4126.0,4552.5,-1.0,-1.0,-1
2023-03-28 08:30:00-05:00,4120.5,4124.5,4116.25,4120.5,-1.0,-1.0,-1
2023-03-28 09:00:00-05:00,4120.0,4128.0,4112.0,4112.0,-1.0,-1.0,-1
2023-03-28 10:00:00-05:00,4112.0,4124.0,4112.0,4124.0,-1.0,-1.0,-1
2023-03-28 11:00:00-05:00,4124.0,4124.0,4120.0,4120.0,-1.0,-1.0,-1
2023-03-28 12:00:00-05:00,4120.0,4120.0,4104.0,4104.0,-1.0,-1.0,-1
2023-03-28 13:00:00-05:00,4104.0,4112.0,4104.0,4112.0,-1.0,-1.0,-1
2023-03-28 14:00:00-05:00,4112.0,4119.0,4111.0,4119.0,-1.0,-1.0,-1
2023-03-28 15:00:00-05:00,4119.0,4127.0,4119.0,4127.0,-1.0,-1.0,-1
2023-03-29 08:30:00-05:00,4166.0,4568.75,4162.0,4568.75,-1.0,-1.0,-1
2023-03-29 09:00:00-05:00,4570.75,4570.75,4154.0,4154.0,-1.0,-1.0,-1
2023-03-29 10:00:00-05:00,4154.0,4162.0,4154.0,4162.0,-1.0,-1.0,-1
2023-03-29 11:00:00-05:00,4162.0,4166.0,4161.5,4161.75,-1.0,-1.0,-1
2023-03-29 12:00:00-05:00,4161.75,4572.5,4161.5,4572.5,-1.0,-1.0,-1
2023-03-29 13:00:00-05:00,4571.75,4571.75,4168.0,4172.0,-1.0,-1.0,-1
2023-03-29 14:00:00-05:00,4172.0,4180.0,4168.0,4178.0,-1.0,-1.0,-1
2023-03-29 15:00:00-05:00,4178.0,4583.25,4178.0,4583.25,-1.0,-1.0,-1
2023-03-30 08:30:00-05:00,4210.25,4210.25,4210.25,4210.25,-1.0,-1.0,-1
2023-03-30 09:00:00-05:00,4210.25,4214.25,4202.25,4208.5,-1.0,-1.0,-1
2023-03-30 10:00:00-05:00,4208.5,4212.5,4200.0,4204.0,-1.0,-1.0,-1
2023-03-30 11:00:00-05:00,4204.0,4204.0,4196.0,4196.0,-1.0,-1.0,-1
2023-03-30 12:00:00-05:00,4196.0,4200.0,4192.0,4194.0,-1.0,-1.0,-1
2023-03-30 13:00:00-05:00,4194.0,4204.25,4194.0,4204.25,-1.0,-1.0,-1
2023-03-30 14:00:00-05:00,4204.25,4208.25,4204.0,4208.25,-1.0,-1.0,-1
2023-03-30 15:00:00-05:00,4208.25,4212.25,4208.0,4212.25,-1.0,-1.0,-1
2023-03-31 08:30:00-05:00,4220.0,4602.0,4220.0,4227.0,-1.0,-1.0,-1
2023-03-31 09:00:00-05:00,4230.5,4234.5,4226.5,4234.5,-1.0,-1.0,-1
2023-03-31 10:00:00-05:00,4234.5,4242.5,4234.5,4242.5,-1.0,-1.0,-1
2023-03-31 11:00:00-05:00,4242.5,4246.5,4242.5,4246.5,-1.0,-1.0,-1
2023-03-31 12:00:00-05:00,4246.5,4246.5,4242.5,4242.5,-1.0,-1.0,-1
2023-03-31 13:00:00-05:00,4242.5,4246.5,4242.5,4246.5,-1.0,-1.0,-1
2023-03-31 14:00:00-05:00,4246.5,4266.75,4246.5,4264.75,-1.0,-1.0,-1
2023-03-31 15:00:00-05:00,4264.75,4268.75,4264.75,4268.75,-1.0,-1.0,-1
2023-04-03 08:30:00-05:00,4270.0,4274.0,4269.75,4274.0,-1.0,-1.0,-1
2023-04-03 09:00:00-05:00,4282.25,4290.25,4269.75,4269.75,-1.0,-1.0,-1
2023-04-03 10:00:00-05:00,4269.75,4273.0,4265.75,4273.0,-1.0,-1.0,-1
2023-04-03 11:00:00-05:00,4273.0,4277.0,4272.75,4273.0,-1.0,-1.0,-1
2023-04-03 12:00:00-05:00,4273.0,4273.0,4268.75,4269.0,-1.0,-1.0,-1
2023-04-03 13:00:00-05:00,4269.0,4293.0,4268.75,4281.0,-1.0,-1.0,-1
2023-04-03 14:00:00-05:00,4281.0,4289.0,4280.75,4289.0,-1.0,-1.0,-1
2023-04-03 15:00:00-05:00,4289.0,4289.0,4288.75,4289.0,-1.0,-1.0,-1
2023-04-04 08:30:00-05:00,4298.25,4298.25,4286.0,4290.25,-1.0,-1.0,-1
2023-04-04 09:00:00-05:00,4290.25,4298.25,4274.0,4274.25,-1.0,-1.0,-1
2023-04-04 10:00:00-05:00,4274.25,4274.25,4262.0,4262.25,-1.0,-1.0,-1
2023-04-04 11:00:00-05:00,4262.25,4618.5,4250.0,4618.5,-1.0,-1.0,-1
2023-04-04 12:00:00-05:00,4618.5,4618.5,4618.25,4618.5,-1.0,-1.0,-1
2023-04-04 13:00:00-05:00,4620.25,4620.25,4257.5,4257.5,-1.0,-1.0,-1
2023-04-04 14:00:00-05:00,4257.5,4261.5,4253.5,4261.5,-1.0,-1.0,-1
2023-04-04 15:00:00-05:00,4261.5,4265.5,4261.5,4265.5,-1.0,-1.0,-1
2023-04-05 08:30:00-05:00,4255.0,4615.75,4254.75,4260.5,-1.0,-1.0,-1
2023-04-05 09:00:00-05:00,4258.25,4258.25,4238.0,4238.25,-1.0,-1.0,-1
2023-04-05 10:00:00-05:00,4238.25,4242.25,4238.0,4242.25,-1.0,-1.0,-1
2023-04-05 11:00:00-05:00,4242.25,4242.25,4242.0,4242.25,-1.0,-1.0,-1
2023-04-05 12:00:00-05:00,4609.25,4609.25,4243.25,4247.5,-1.0,-1.0,-1
2023-04-05 13:00:00-05:00,4247.5,4251.5,4246.5,4250.75,-1.0,-1.0,-1
2023-04-05 14:00:00-05:00,4250.75,4250.75,4246.5,4250.75,-1.0,-1.0,-1
2023-04-05 15:00:00-05:00,4250.75,4612.75,4250.5,4612.75,-1.0,-1.0,-1
2023-04-06 08:30:00-05:00,4244.0,4244.0,4231.75,4236.0,-1.0,-1.0,-1
2023-04-06 09:00:00-05:00,4236.0,4248.0,4235.75,4240.0,-1.0,-1.0,-1
2023-04-06 10:00:00-05:00,4240.0,4256.0,4239.75,4256.0,-1.0,-1.0,-1
2023-04-06 11:00:00-05:00,4256.0,4264.0,4255.75,4264.0,-1.0,-1.0,-1
2023-04-06 12:00:00-05:00,4264.0,4264.0,4259.75,4264.0,-1.0,-1.0,-1
2023-04-06 13:00:00-05:00,4264.0,4268.0,4263.75,4268.0,-1.0,-1.0,-1
2023-04-06 14:00:00-05:00,4268.0,4268.0,4263.75,4268.0,-1.0,-1.0,-1
2023-04-06 15:00:00-05:00,4268.0,4268.0,4267.75,4268.0,-1.0,-1.0,-1
2023-04-10 08:30:00-05:00,4233.5,4237.5,4229.25,4231.25,-1.0,-1.0,-1
2023-04-10 09:00:00-05:00,4606.25,4606.25,4235.25,4239.5,-1.0,-1.0,-1
2023-04-10 10:00:00-05:00,4239.5,4243.5,4239.25,4239.5,-1.0,-1.0,-1
2023-04-10 11:00:00-05:00,4239.5,4251.5,4235.25,4251.5,-1.0,-1.0,-1
2023-04-10 12:00:00-05:00,4251.5,4616.25,4251.25,4616.25,-1.0,-1.0,-1
2023-04-10 13:00:00-05:00,4618.75,4618.75,4256.0,4260.25,-1.0,-1.0,-1
2023-04-10 14:00:00-05:00,4260.25,4264.25,4260.0,4264.25,-1.0,-1.0,-1
2023-04-10 15:00:00-05:00,4264.25,4268.25,4264.0,4268.25,-1.0,-1.0,-1
2023-04-11 08:30:00-05:00,4272.25,4272.25,4264.0,4264.25,-1.0,-1.0,-1
2023-04-11 09:00:00-05:00,4264.25,4618.75,4260.0,4618.75,-1.0,-1.0,-1
2023-04-11 10:00:00-05:00,4618.75,4618.75,4618.5,4618.75,-1.0,-1.0,-1
2023-04-11 11:00:00-05:00,4271.75,4271.75,4269.5,4271.75,-1.0,-1.0,-1
